model_name,predictions_file,n,positive_rate,mean_pred_prob,brier_score,ece,mce,brier_ci_low,brier_ci_high,ece_ci_low,ece_ci_high
Image,artifacts\models\image_pneumonia_finetune_densenet121_u_ignore_temporal_stronger_lr_v3\test_predictions.csv,1075,0.4530232558139535,0.5155365507062092,0.2063056283325257,0.06735261101362316,0.1651922317884736,0.19487731347983986,0.21767078669813353,0.04888447340778319,0.098045721579259
Multimodal,artifacts\models\multimodal_pneumonia_densenet121_triage_u_ignore_temporal_stronger_lr_v3\test_predictions.csv,1075,0.4530232558139535,0.4867857715071634,0.20686361636847,0.04034054008334182,0.13100612232851427,0.1956323213861885,0.21792121422298644,0.03155512478833137,0.07341358602576348
Attention Fusion,artifacts\models\multimodal_pneumonia_attn_fusion_u_ignore_temporal_v1\test_predictions.csv,1075,0.4530232558139535,0.3347818323519341,0.2237598511044562,0.13184638911554977,0.18999010324478144,0.2089938156446144,0.2392397932129165,0.10806000197672912,0.16133756148580614
