threshold,prevalence,n,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,predicted_positive_rate,predicted_negative_rate,net_benefit,standardized_net_benefit
0.1,0.4530232558139535,1075,487,588,0,0,1.0,0.0,0.4530232558139535,,1.0,0.0,0.3922480620155039,0.8658453114305271
0.2,0.4530232558139535,1075,487,588,0,0,1.0,0.0,0.4530232558139535,,1.0,0.0,0.31627906976744186,0.6981519507186859
0.3,0.4530232558139535,1075,484,576,12,3,0.9938398357289527,0.02040816326530612,0.45660377358490567,0.8,0.986046511627907,0.013953488372093023,0.22059800664451826,0.48694631856849513
0.5,0.4530232558139535,1075,247,215,373,240,0.5071868583162218,0.6343537414965986,0.5346320346320347,0.6084828711256117,0.4297674418604651,0.5702325581395349,0.029767441860465094,0.06570841889117038
0.8,0.4530232558139535,1075,9,8,580,478,0.018480492813141684,0.9863945578231292,0.5294117647058824,0.5482041587901701,0.01581395348837209,0.9841860465116279,-0.02139534883720931,-0.04722792607802877
