threshold,prevalence,n,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,predicted_positive_rate,predicted_negative_rate,net_benefit,standardized_net_benefit
0.1,0.4530232558139535,1075,487,588,0,0,1.0,0.0,0.4530232558139535,,1.0,0.0,0.3922480620155039,0.8658453114305271
0.2,0.4530232558139535,1075,487,588,0,0,1.0,0.0,0.4530232558139535,,1.0,0.0,0.31627906976744186,0.6981519507186859
0.3,0.4530232558139535,1075,487,588,0,0,1.0,0.0,0.4530232558139535,,1.0,0.0,0.21860465116279068,0.48254620123203285
0.5,0.4530232558139535,1075,257,223,365,230,0.5277207392197125,0.6207482993197279,0.5354166666666667,0.6134453781512605,0.44651162790697674,0.5534883720930233,0.03162790697674417,0.06981519507186855
0.8,0.4530232558139535,1075,0,0,588,487,0.0,1.0,,0.5469767441860465,0.0,1.0,0.0,0.0
