model_name,threshold,net_benefit,standardized_net_benefit,tp,fp,tn,fn,predicted_positive,predicted_negative
Clinical Logistic strong_v2,0.64,0.0009302325581395238,0.0020533880903490513,65,36,552,422,101,974
Clinical Logistic strong_v2,0.65,-0.0022591362126246003,-0.004986799647990647,57,32,556,430,89,986
Clinical Logistic strong_v2,0.66,-0.0012585499316005513,-0.0027781132987075826,53,28,560,434,81,994
Clinical Logistic strong_v2,0.67,-0.006342494714587754,-0.01400037334328919,48,27,561,439,75,1000
Clinical Logistic strong_v2,0.68,-0.006627906976744195,-0.014630390143737187,46,25,563,441,71,1004
Clinical Logistic strong_v2,0.6900000000000001,-0.016204051012753205,-0.03576869576737104,36,24,564,451,60,1015
Clinical Logistic strong_v2,0.7000000000000001,-0.01705426356589148,-0.03764544832306641,33,22,566,454,55,1020
Clinical Logistic strong_v2,0.7100000000000001,-0.021780272654370506,-0.048077603908518056,28,21,567,459,49,1026
Clinical Logistic strong_v2,0.72,-0.022192691029900326,-0.04898797301261366,25,19,569,462,44,1031
Clinical Logistic strong_v2,0.73,-0.028251507321274755,-0.06236215681800896,21,19,569,466,40,1035
Clinical Logistic strong_v2,0.74,-0.026404293381037558,-0.05828463117990837,20,17,571,467,37,1038
Clinical Logistic strong_v2,0.75,-0.019534883720930228,-0.04312114989733059,18,13,575,469,31,1044
Clinical Logistic strong_v2,0.76,-0.020310077519379847,-0.044832306639288166,13,11,577,474,24,1051
Clinical Logistic strong_v2,0.77,-0.019979777553083923,-0.04410320507097581,12,10,578,475,22,1053
Clinical Logistic strong_v2,0.78,-0.023678646934460888,-0.052268060481612845,10,10,578,477,20,1055
Clinical Logistic strong_v2,0.79,-0.025692137320044307,-0.05671262344773641,10,10,578,477,20,1055
Clinical Logistic strong_v2,0.8,-0.02139534883720931,-0.04722792607802877,9,8,580,478,17,1058
Clinical Logistic strong_v2,0.81,-0.013317013463892293,-0.029395871609207834,7,5,583,480,12,1063
Clinical Logistic strong_v2,0.8200000000000001,-0.011369509043927657,-0.025096965548710947,6,4,584,481,10,1065
Clinical Logistic strong_v2,0.8300000000000001,-0.013515731874145016,-0.029834521077424833,5,4,584,482,9,1066
Clinical Logistic strong_v2,0.8400000000000001,-0.015813953488372105,-0.03490759753593432,4,4,584,483,8,1067
Clinical Logistic strong_v2,0.85,-0.017364341085271316,-0.038329911019849415,4,4,584,483,8,1067
Clinical Logistic strong_v2,0.86,-0.019136212624584717,-0.042241126430038134,4,4,584,483,8,1067
Clinical Logistic strong_v2,0.87,-0.010590339892665473,-0.023377033643974095,2,2,586,485,4,1071
Clinical Logistic strong_v2,0.88,-0.00496124031007752,-0.010951403148528407,2,1,587,485,3,1072
Clinical Logistic strong_v2,0.89,-0.005665961945031713,-0.012507000186671646,2,1,587,485,3,1072
Clinical Logistic strong_v2,0.9,-0.007441860465116281,-0.016427104722792612,1,1,587,486,2,1073
Clinical Logistic strong_v2,0.91,-0.008475452196382433,-0.0187086470454027,1,1,587,486,2,1073
Clinical Logistic strong_v2,0.92,-0.009767441860465124,-0.021560574948665315,1,1,587,486,2,1073
Clinical Logistic strong_v2,0.93,-0.011428571428571439,-0.02522733939571724,1,1,587,486,2,1073
Clinical Logistic strong_v2,0.9400000000000001,-0.013643410852713193,-0.03011635865845315,1,1,587,486,2,1073
Clinical Logistic strong_v2,0.9500000000000001,-0.016744186046511657,-0.03696098562628343,1,1,587,486,2,1073
Clinical Logistic strong_v2,0.9600000000000001,-0.02139534883720935,-0.04722792607802885,1,1,587,486,2,1073
Clinical Logistic strong_v2,0.97,-0.029147286821705403,-0.06433949349760433,1,1,587,486,2,1073
Clinical Logistic strong_v2,0.98,-0.044651162790697634,-0.09856262833675555,1,1,587,486,2,1073
