threshold,prevalence,n,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,predicted_positive_rate,predicted_negative_rate,net_benefit,standardized_net_benefit
0.1,0.4530232558139535,1075,484,575,13,3,0.9938398357289527,0.022108843537414966,0.45703493862134087,0.8125,0.9851162790697674,0.014883720930232559,0.3908010335917313,0.862651152178873
0.2,0.4530232558139535,1075,472,503,85,15,0.9691991786447639,0.1445578231292517,0.4841025641025641,0.85,0.9069767441860465,0.09302325581395349,0.322093023255814,0.7109856262833677
0.3,0.4530232558139535,1075,437,382,206,50,0.8973305954825462,0.35034013605442177,0.5335775335775336,0.8046875,0.761860465116279,0.23813953488372094,0.25421926910299003,0.561161630976826
0.5,0.4530232558139535,1075,295,163,425,192,0.6057494866529775,0.7227891156462585,0.6441048034934498,0.6888168557536467,0.42604651162790697,0.573953488372093,0.12279069767441861,0.27104722792607805
0.8,0.4530232558139535,1075,113,20,568,374,0.23203285420944558,0.9659863945578231,0.849624060150376,0.6029723991507431,0.12372093023255815,0.8762790697674419,0.030697674418604645,0.0677618069815195
