threshold,prevalence,n,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,predicted_positive_rate,predicted_negative_rate,net_benefit,standardized_net_benefit
0.1,0.4530232558139535,1075,486,584,4,1,0.997946611909651,0.006802721088435374,0.4542056074766355,0.8,0.9953488372093023,0.004651162790697674,0.3917312661498708,0.864704540269222
0.2,0.4530232558139535,1075,474,536,52,13,0.973305954825462,0.08843537414965986,0.4693069306930693,0.8,0.9395348837209302,0.06046511627906977,0.31627906976744186,0.6981519507186859
0.3,0.4530232558139535,1075,449,416,172,38,0.9219712525667351,0.2925170068027211,0.5190751445086705,0.819047619047619,0.8046511627906977,0.19534883720930232,0.25182724252491695,0.5558814901730713
0.5,0.4530232558139535,1075,321,180,408,166,0.6591375770020534,0.6938775510204082,0.6407185628742516,0.710801393728223,0.466046511627907,0.533953488372093,0.13116279069767445,0.2895277207392198
0.8,0.4530232558139535,1075,134,32,556,353,0.2751540041067762,0.9455782312925171,0.8072289156626506,0.6116611661166117,0.15441860465116278,0.8455813953488373,0.00558139534883717,0.01232032854209437
