model_name,threshold,net_benefit,standardized_net_benefit,tp,fp,tn,fn,predicted_positive,predicted_negative
Image stronger_lr_v3,0.67,0.06102889358703312,0.13471470350320452,226,79,509,261,305,770
Image stronger_lr_v3,0.68,0.06325581395348834,0.1396303901437371,221,72,516,266,293,782
Image stronger_lr_v3,0.6900000000000001,0.06448612153038255,0.14234616148903748,214,65,523,273,279,796
Image stronger_lr_v3,0.7000000000000001,0.06511627906976741,0.14373716632443526,210,60,528,277,270,805
Image stronger_lr_v3,0.7100000000000001,0.061812349639133846,0.13644409827940224,206,57,531,281,263,812
Image stronger_lr_v3,0.72,0.06166112956810632,0.13611029627456733,200,52,536,287,252,823
Image stronger_lr_v3,0.73,0.05219638242894059,0.11521788729180932,194,51,537,293,245,830
Image stronger_lr_v3,0.74,0.040500894454382846,0.08940135839519828,183,49,539,304,232,843
Image stronger_lr_v3,0.75,0.03348837209302327,0.07392197125256678,174,46,542,313,220,855
Image stronger_lr_v3,0.76,0.03643410852713176,0.08042436687200544,169,41,547,318,210,865
Image stronger_lr_v3,0.77,0.02863498483316479,0.06320864208552802,158,38,550,329,196,879
Image stronger_lr_v3,0.78,0.013276955602536972,0.029307448198618573,149,38,550,338,187,888
Image stronger_lr_v3,0.79,0.007751937984496096,0.017111567419575573,140,35,553,347,175,900
Image stronger_lr_v3,0.8,0.00558139534883717,0.01232032854209437,134,32,556,353,166,909
Image stronger_lr_v3,0.81,0.01106487148102811,0.024424510969415232,127,27,561,360,154,921
Image stronger_lr_v3,0.8200000000000001,0.012299741602067149,0.02715035363905993,118,23,565,369,141,934
Image stronger_lr_v3,0.8300000000000001,0.016142270861833063,0.0356323227442927,115,20,568,372,135,940
Image stronger_lr_v3,0.8400000000000001,0.008604651162790633,0.01899383983572881,109,19,569,378,128,947
Image stronger_lr_v3,0.85,-0.002790697674418599,-0.006160164271047216,99,18,570,388,117,958
Image stronger_lr_v3,0.86,0.0017275747508305739,0.0038134350249340184,94,15,573,393,109,966
Image stronger_lr_v3,0.87,0.00808586762075135,0.017848681093034294,89,12,576,398,101,974
Image stronger_lr_v3,0.88,0.01209302325581394,0.02669404517453796,79,9,579,408,88,987
Image stronger_lr_v3,0.89,0.014291754756871035,0.0315475079335449,72,7,581,415,79,996
Image stronger_lr_v3,0.9,0.01209302325581394,0.02669404517453796,67,6,582,420,73,1002
Image stronger_lr_v3,0.91,0.0003100775193798297,0.0006844626967829916,61,6,582,426,67,1008
Image stronger_lr_v3,0.92,0.018139534883720915,0.04004106776180695,54,3,585,433,57,1018
Image stronger_lr_v3,0.93,0.01993355481727573,0.04400117336462302,48,2,586,439,50,1025
Image stronger_lr_v3,0.9400000000000001,0.0024806201550387277,0.005475701574264132,34,2,586,453,36,1039
Image stronger_lr_v3,0.9500000000000001,-0.016744186046511685,-0.03696098562628349,20,2,586,467,22,1053
Image stronger_lr_v3,0.9600000000000001,-0.01023255813953493,-0.022587268993839938,13,1,587,474,14,1061
Image stronger_lr_v3,0.97,0.010232558139534883,0.022587268993839834,11,0,588,476,11,1064
Image stronger_lr_v3,0.98,0.0037209302325581397,0.008213552361396304,4,0,588,483,4,1071
Image stronger_lr_v3,0.99,0.0009302325581395349,0.002053388090349076,1,0,588,486,1,1074
