factor,level,arch,metric,mean,std,n_seeds
acuity_group,High acuity (ESI 1-2),concat,auprc,0.7259314771414486,0.0063837659362033184,5
acuity_group,High acuity (ESI 1-2),image,auprc,0.7328005647576995,0.005272187454593106,5
acuity_group,High acuity (ESI 1-2),concat,auroc,0.7607269299485931,0.010191881221713096,5
acuity_group,High acuity (ESI 1-2),image,auroc,0.7587693049664047,0.0016633104863001155,5
acuity_group,High acuity (ESI 1-2),concat,brier,0.20049598612233988,0.003831216901841314,5
acuity_group,High acuity (ESI 1-2),image,brier,0.20197856062663772,0.0014103700115842763,5
acuity_group,High acuity (ESI 1-2),concat,ece,0.059764876514181456,0.01245808792960958,5
acuity_group,High acuity (ESI 1-2),image,ece,0.06491833412066939,0.01093670048394986,5
acuity_group,Lower acuity (ESI 3-5),concat,auprc,0.6971947522958297,0.004033612821210428,5
acuity_group,Lower acuity (ESI 3-5),image,auprc,0.6964453617118311,0.005132504799104438,5
acuity_group,Lower acuity (ESI 3-5),concat,auroc,0.7106194517608039,0.002755665533519915,5
acuity_group,Lower acuity (ESI 3-5),image,auroc,0.7052385133157741,0.006567800000671052,5
acuity_group,Lower acuity (ESI 3-5),concat,brier,0.21161973025951272,0.0015612250000722216,5
acuity_group,Lower acuity (ESI 3-5),image,brier,0.21419388265489717,0.0008773244084228426,5
acuity_group,Lower acuity (ESI 3-5),concat,ece,0.051818330102322396,0.012823627144192447,5
acuity_group,Lower acuity (ESI 3-5),image,ece,0.06881127132004813,0.019893693679204717,5
age_band,40-59,concat,auprc,0.715128703940042,0.011976559696800539,5
age_band,40-59,image,auprc,0.7078730768721186,0.0036322165141462904,5
age_band,40-59,concat,auroc,0.7534914361001317,0.008158794190413194,5
age_band,40-59,image,auroc,0.747653162055336,0.001997613549194354,5
age_band,40-59,concat,brier,0.1962168866405515,0.0035605285405582226,5
age_band,40-59,image,brier,0.19979403381466654,0.0021662155981177437,5
age_band,40-59,concat,ece,0.06072916836018048,0.009692728286492786,5
age_band,40-59,image,ece,0.07870960759258346,0.015719573178313306,5
age_band,60-79,concat,auprc,0.7058190058728868,0.00930411922432099,5
age_band,60-79,image,auprc,0.7136926357906273,0.009152351790049583,5
age_band,60-79,concat,auroc,0.7233402489626556,0.011187229109256217,5
age_band,60-79,image,auroc,0.7204896265560166,0.008450003970683236,5
age_band,60-79,concat,brier,0.213005088288286,0.0031737539115472523,5
age_band,60-79,image,brier,0.21381652678959587,0.0029556719962889133,5
age_band,60-79,concat,ece,0.07431084268014718,0.013317855702827026,5
age_band,60-79,image,ece,0.07591259164435793,0.005791375963377677,5
age_band,80+,concat,auprc,0.7191158192863293,0.010828095402234407,5
age_band,80+,image,auprc,0.7308326698651568,0.018516367273943915,5
age_band,80+,concat,auroc,0.7448913917940466,0.01316822947479655,5
age_band,80+,image,auroc,0.7454062751407884,0.012087486930086093,5
age_band,80+,concat,brier,0.2066416237063374,0.0045555185494228064,5
age_band,80+,image,brier,0.20681534109778302,0.0049945363302507885,5
age_band,80+,concat,ece,0.05994057019863428,0.013521441452571045,5
age_band,80+,image,ece,0.0748182906932093,0.012431200685957943,5
age_band,<40,concat,auprc,0.7831429870351039,0.0143652513056215,5
age_band,<40,image,auprc,0.78124824562612,0.010019500909884113,5
age_band,<40,concat,auroc,0.7801777777777777,0.016512172838601596,5
age_band,<40,image,auroc,0.7693333333333333,0.015386381664990005,5
age_band,<40,concat,brier,0.19303466284680632,0.004000490036937914,5
age_band,<40,image,brier,0.1963120938256168,0.0021518089590646184,5
age_band,<40,concat,ece,0.08562075571009989,0.01618132674467643,5
age_band,<40,image,ece,0.0974420245776051,0.01934243618176356,5
race_group,Asian,concat,auprc,0.7664259654855481,0.02645671137873447,5
race_group,Asian,image,auprc,0.795049368975955,0.03569227120216275,5
race_group,Asian,concat,auroc,0.7343653250773994,0.035190767153889344,5
race_group,Asian,image,auroc,0.7560371517027864,0.03337340675718111,5
race_group,Asian,concat,brier,0.2132299949546761,0.012655246096089583,5
race_group,Asian,image,brier,0.20231099571358122,0.014775391255717477,5
race_group,Asian,concat,ece,0.20573894182840982,0.0430366340843264,5
race_group,Asian,image,ece,0.15540881256262462,0.028754678298747154,5
race_group,Black,concat,auprc,0.6713409046823295,0.008247604918333687,5
race_group,Black,image,auprc,0.6696740949401312,0.007582440141403152,5
race_group,Black,concat,auroc,0.7092835839837552,0.008058087502370652,5
race_group,Black,image,auroc,0.7096516276413478,0.0038623686954608583,5
race_group,Black,concat,brier,0.21153446657802788,0.0035460972290308687,5
race_group,Black,image,brier,0.21439577734720708,0.0036188340294305158,5
race_group,Black,concat,ece,0.0923285580764059,0.02134014168774874,5
race_group,Black,image,ece,0.09551719086011871,0.008681507875329444,5
race_group,Hispanic,concat,auprc,0.6303044075448534,0.02906161027516921,5
race_group,Hispanic,image,auprc,0.6299050156443678,0.01352644971400851,5
race_group,Hispanic,concat,auroc,0.6549342105263157,0.029677133158609627,5
race_group,Hispanic,image,auroc,0.6404605263157894,0.017794350049891158,5
race_group,Hispanic,concat,brier,0.23473308233763693,0.008675879614245718,5
race_group,Hispanic,image,brier,0.24087241312329755,0.00413954699872633,5
race_group,Hispanic,concat,ece,0.12431839932288442,0.03531809883884371,5
race_group,Hispanic,image,ece,0.1104397460605417,0.016557809829966005,5
race_group,Other/Unknown,concat,auprc,0.8455843916895048,0.012731130910439967,5
race_group,Other/Unknown,image,auprc,0.8421890629808662,0.010604219452714834,5
race_group,Other/Unknown,concat,auroc,0.7970760233918129,0.022133556570497752,5
race_group,Other/Unknown,image,auroc,0.7730994152046783,0.02270557737814875,5
race_group,Other/Unknown,concat,brier,0.18029928694969963,0.0049007754088239205,5
race_group,Other/Unknown,image,brier,0.18490483302204191,0.010273994929581377,5
race_group,Other/Unknown,concat,ece,0.1594259928609874,0.05147902415503305,5
race_group,Other/Unknown,image,ece,0.1656277755627761,0.046079162687943084,5
race_group,White,concat,auprc,0.7287202773626748,0.004962178959829507,5
race_group,White,image,auprc,0.731638487804636,0.0057284899101595005,5
race_group,White,concat,auroc,0.7557025724038429,0.005957895329414284,5
race_group,White,image,auroc,0.7513337086954992,0.005936686727656097,5
race_group,White,concat,brier,0.2003367788866735,0.002319035870423135,5
race_group,White,image,brier,0.20166628756045163,0.0016293134517917447,5
